experiment,features,name,f1-score,accuracy,recall,train_time,predict_time
"('baseline',)","('raw',)",Random Forest,0.5772357723577236,0.8613333333333333,0.4648117839607201,-0.5972366333007812,-0.0358953475952148
"('baseline',)","('raw',)",Logistic Regression,0.1274238227146814,0.79,0.0752864157119476,-0.0366277694702148,-0.0065112113952636
"('HasBalance added',)","('Hasbalnce',)",Random Forest,0.5817805383022774,0.8653333333333333,0.4599018003273322,-0.6245648860931396,-0.036839485168457
"('HasBalance added',)","('Hasbalnce',)",Logistic Regression,0.1274238227146814,0.79,0.0752864157119476,-0.0387871265411376,-0.0041816234588623
"('Balance loged',)","('log_balance',)",Random Forest,0.5784615384615385,0.863,0.4615384615384615,-0.6420936584472656,-0.0347406864166259
"('Balance loged',)","('log_balance',)",Logistic Regression,0.2867557715674362,0.8043333333333333,0.1931260229132569,-0.0493700504302978,-0.0081360340118408
"('Balance per Product',)","('balance_per_product',)",Random Forest,0.572605561277034,0.8616666666666667,0.4549918166939443,-0.7317168712615967,-0.0443334579467773
"('Balance per Product',)","('balance_per_product',)",Logistic Regression,0.1641991924629879,0.793,0.099836333878887,-0.0497355461120605,0.0
"('log_balance / numofproducts',)","('balance_per_product',)",Random Forest,0.5842696629213483,0.8643333333333333,0.4680851063829787,-0.7036910057067871,-0.0362212657928466
"('log_balance / numofproducts',)","('balance_per_product',)",Logistic Regression,0.1264044943820224,0.7926666666666666,0.0736497545008183,-0.0445616245269775,-0.002126932144165
"('Tenure per Age',)","('tenure_age_ratio',)",Random Forest,0.5787321063394683,0.8626666666666667,0.4631751227495908,-0.7530517578125,-0.0378956794738769
"('Tenure per Age',)","('tenure_age_ratio',)",Logistic Regression,0.1258741258741259,0.7916666666666666,0.0736497545008183,-0.0358645915985107,0.0
"('IsHighSalary',)","('is_high_..',)",Random Forest,0.5764102564102564,0.8623333333333333,0.45990180032733224,-0.8723361492156982,-0.031655073165893555
"('IsHighSalary',)","('is_high_..',)",Logistic Regression,0.14049586776859505,0.792,0.08346972176759411,-0.03372931480407715,-0.007681608200073242
